,   Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56460,Narrogin (S),2016,663,110,-,17,1500,3,10,20,140,1729,10,108,38,208,2093,553,44,1231,1820,2.4,404,90,509,164,68,18,1251,2.9,1595,340,1369,47.9,33.6,6.7,8,4.1,73.5,22.8,926,1333,60.7,17.6,7.8,0.7,10.5,28.2,1.9,38,1441,227,1639,96,17,62,33.9,30.3,30.8,95.3,4.7,91.7,8.3,10.3,1.8,19.2,2.2,4,5,5,5,4,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56580,Nedlands (C),2011,4832,240,194,600,5996,53,326,90,368,7650,249,656,101,1064,9720,1425,286,5305,7024,2.8,2554,396,1748,366,181,110,5361,3.2,8235,756,5905,54.7,32.1,5.5,6,1.6,-,-,1796,2981,64.3,21.3,7.5,1.2,11.8,28.2,2,-,-,-,5963,608,450,7,43.7,28.5,23.9,90.6,9.4,91.2,8.8,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56580,Nedlands (C),2012,4899,250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56580,Nedlands (C),2013,5035,250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56580,Nedlands (C),2014,5025,260,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56580,Nedlands (C),2015,5092,300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56580,Nedlands (C),2016,4838,300,202,551,6179,50,323,102,379,7805,235,774,87,869,9770,1403,263,5475,7141,2.8,2605,402,1876,364,189,97,5521,3.2,8552,810,5816,56.3,31,4.8,6.3,1.7,91.9,6.3,2360,3091,62.8,22.7,8.1,0.8,11.8,32.1,2,103,5677,904,5756,930,444,-,44,30.7,21.9,93.7,6.3,92.7,7.3,8.7,6.4,16.6,13.9,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56620,Ngaanyatjarraku (S),2011,-,-,-,-,80,-,-,-,280,364,9,7,19,35,434,90,8,248,345,3.4,121,12,72,72,28,-,319,3.4,345,75,461,54,28.5,8.7,4.6,4.1,-,-,132,-,51.4,14.6,20.9,4,18.2,11.7,1.9,-,-,-,323,-,14,3,2,-,91.9,100,-,100,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56620,Ngaanyatjarraku (S),2012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56620,Ngaanyatjarraku (S),2013,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56620,Ngaanyatjarraku (S),2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56620,Ngaanyatjarraku (S),2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56620,Ngaanyatjarraku (S),2016,-,-,-,-,93,-,5,-,154,251,-,4,9,18,284,64,-,292,364,3.8,162,10,93,78,32,17,392,3.3,429,102,509,53.6,29.5,6,5.3,4.6,45.3,42.3,141,-,26.2,15.4,20.8,9.4,23.4,8.1,1.9,105,158,63,344,-,11,3,0.8,-,88.2,100,-,100,-,21.8,-,21.8,-,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56730,Northam (S),2011,1438,75,8,39,3068,23,14,66,243,3538,52,254,86,534,4464,986,103,2690,3775,2.5,861,183,1188,317,156,32,2743,3,3483,766,2712,49.3,31.1,5.9,9.9,4,-,-,814,1536,62.5,18.3,7.2,1.2,11.3,20,2,-,-,-,3486,73,151,63,34.4,37.4,24.5,90.8,9.2,94,6,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56730,Northam (S),2012,1334,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56730,Northam (S),2013,1324,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56730,Northam (S),2014,1448,110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56730,Northam (S),2015,1339,130,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56730,Northam (S),2016,1272,133,6,55,3084,12,18,55,176,3480,41,244,53,519,4337,1108,101,2666,3876,2.4,804,201,1194,311,170,26,2718,2.9,3354,884,2992,46,33.1,6.1,10.4,4.4,75.7,21.6,1041,1575,60.3,16.3,7.1,0.9,11,20.3,1.9,111,3028,488,3661,64,80,45,34.1,36.6,26.1,93.4,6.6,91.8,8.2,19.9,3.6,24.7,4.9,3,3,2,5,2,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56790,Northampton (S),2011,334,67,-,19,706,10,25,35,147,952,22,193,27,156,1350,348,22,897,1274,2.3,268,42,501,74,32,11,916,2.8,1204,295,705,55.7,25.8,5.6,9.8,3,-,-,869,1642,65.4,18.7,6.1,1,11.8,29.2,1.9,-,-,-,1103,55,26,85,44.2,24,26.7,93.5,6.5,91.7,8.3,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56790,Northampton (S),2012,316,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56790,Northampton (S),2013,327,106,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56790,Northampton (S),2014,344,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56790,Northampton (S),2015,378,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56790,Northampton (S),2016,333,100,-,41,710,3,25,28,123,944,12,195,29,190,1370,392,26,873,1291,2.2,222,59,497,59,34,10,877,2.7,1139,343,788,52.5,28,5.9,10.9,2.7,73.1,23.5,1021,1643,65.4,14.8,5.9,0.5,10.6,28.1,1.8,27,1004,188,1076,62,61,83,44.3,22.6,27.6,94.8,5.2,91.7,8.3,38.7,8.1,38.0,6.1,4,4,3,5,3,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56860,Nungarin (S),2011,-,-,-,-,62,-,-,8,12,81,5,14,-,3,103,31,-,57,86,2.3,11,6,29,-,-,-,59,2.9,75,19,68,45.5,36.4,3.4,10.2,2.3,-,-,237,1500,70.5,17.6,5.1,2.3,10.8,48.9,2,-,-,-,88,-,-,-,47.1,19.5,33.3,96.3,3.7,100,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56860,Nungarin (S),2012,22,65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56860,Nungarin (S),2013,22,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56860,Nungarin (S),2014,21,103,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56860,Nungarin (S),2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56860,Nungarin (S),2016,-,-,-,3,74,-,-,3,13,94,-,15,3,4,110,27,-,66,97,2.5,21,-,32,-,-,-,67,3,76,32,66,49.5,29.1,5.3,15,3.4,73.2,20.6,186,550,68,17.5,6.8,-,14.6,39.8,2.2,-,78,6,90,-,-,-,51.6,10.8,34.4,100,-,100,-,27.8,21.6,18.0,4.5,4,4,6,4,3,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56930,Peppermint Grove (S),2011,376,550,38,16,356,-,7,8,31,456,15,53,9,72,605,98,15,372,489,2.8,167,18,153,25,10,-,384,3.2,597,46,387,55.9,35.1,4.2,4.4,1.4,-,-,1718,3224,61.7,19.1,8.4,0.5,10.4,28.3,2.2,-,-,-,389,13,86,-,50.3,24.6,22.4,90.7,9.3,93.1,6.9,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56930,Peppermint Grove (S),2012,378,520,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56930,Peppermint Grove (S),2013,366,518,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56930,Peppermint Grove (S),2014,363,530,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56930,Peppermint Grove (S),2015,380,500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56930,Peppermint Grove (S),2016,368,590,50,10,436,-,11,6,41,550,10,71,9,57,697,107,18,386,513,2.8,174,35,140,29,8,7,390,3.2,620,48,434,52.9,36.6,4.4,4.2,1.2,90.1,6.2,2326,2986,63.6,18.3,9.4,0.5,11.8,33,2.1,5,396,65,389,60,60,-,49.1,23.5,23.7,93.9,6.1,92.3,7.7,9.2,8.6,13.2,10.0,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57000,Perenjori (S),2011,33,70,3,97,271,-,3,37,60,495,7,75,11,14,602,41,8,147,194,2.5,65,5,66,8,-,-,146,3,207,67,90,46.4,41.1,2.6,6.9,3.3,-,-,422,566,65.5,18.6,4.3,1,7.2,22,1.7,-,-,-,188,-,-,3,49.2,19.9,29.3,97.8,2.2,97.3,2.7,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57000,Perenjori (S),2012,43,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57000,Perenjori (S),2013,50,70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57000,Perenjori (S),2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57000,Perenjori (S),2015,52,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57000,Perenjori (S),2016,52,100,-,51,175,-,3,30,37,307,-,52,10,18,385,55,-,114,167,2.3,44,5,55,-,-,-,111,3,157,42,99,50.3,33.3,2.1,10,3,79,19.8,509,1085,60.9,19.8,4.7,0.8,6.6,27.8,2,-,140,14,159,4,-,4,45,21.3,28.4,96.1,3.9,95.5,4.5,31.8,1.8,64.3,25.6,8,8,8,9,7,7,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57080,Perth (C),2011,3445,130,352,1716,3949,71,196,207,2397,8919,402,334,82,912,10649,3489,852,4041,8377,-,731,141,2728,181,107,168,4055,-,4696,2167,6839,-,-,-,-,-,-,-,1812,2600,73.8,6.7,3.9,0.1,5,15,1.4,-,-,-,334,872,6952,67,14.5,20.3,63.1,92.6,7.4,76.6,23.4,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57080,Perth (C),2012,3458,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57080,Perth (C),2013,3865,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57080,Perth (C),2014,4113,165,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57080,Perth (C),2015,4281,152,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57080,Perth (C),2016,4122,175,421,2274,4568,51,232,230,2604,10406,479,453,152,1184,12674,3968,996,5082,10045,-,1003,143,3401,249,150,174,5109,-,5837,2806,8314,-,-,-,-,-,88,9.5,1934,2341,73.7,7.3,3.4,0.1,5.2,18.4,1.4,558,5379,3626,285,820,8703,23,14.6,19.2,63.3,95.5,4.5,75,25,-,-,-,-,9,10,10,2,9,10,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57140,Pingelly (S),2011,122,54,-,7,232,-,3,8,41,314,8,71,6,55,454,114,11,329,449,2.4,94,15,166,35,16,-,330,2.8,425,103,255,53.5,26.2,6.3,9.1,4.7,-,-,488,1311,63.6,18.9,9.1,0.7,14,32.2,1.9,-,-,-,423,5,19,7,44.8,23.4,27.1,93.1,6.9,92.7,7.3,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57140,Pingelly (S),2012,101,63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57140,Pingelly (S),2013,97,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57140,Pingelly (S),2014,111,113,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57140,Pingelly (S),2015,122,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57140,Pingelly (S),2016,107,125,-,4,232,-,-,11,36,293,-,79,7,41,417,137,12,299,446,2.2,68,20,160,30,16,-,303,2.7,383,97,294,51.4,26.7,7.3,10,5,67.3,30.7,660,1272,65.7,13.7,6.6,1.2,11,31.3,1.9,16,336,59,427,3,22,-,44.5,25.6,25.2,95.1,4.9,91.3,8.7,27.8,12.0,25.6,1.9,2,2,3,3,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57210,Plantagenet (S),2011,709,50,-,17,1331,11,10,30,113,1533,19,325,40,257,2174,432,32,1342,1804,2.4,418,76,653,138,58,17,1354,2.8,1824,378,1143,54.3,28.5,5.3,8.7,3.3,-,-,641,1344,64.6,19.9,5.4,0.8,10.9,28,1.9,-,-,-,1668,96,10,25,40.4,31.2,24.1,91.9,8.1,93.1,6.9,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57210,Plantagenet (S),2012,705,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57210,Plantagenet (S),2013,752,59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57210,Plantagenet (S),2014,738,66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57210,Plantagenet (S),2015,715,76,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57210,Plantagenet (S),2016,664,100,-,15,1321,8,6,24,115,1519,9,279,24,289,2120,506,31,1330,1870,2.4,381,93,672,128,58,17,1352,2.8,1783,425,1262,51.5,28.2,5.8,10.1,4.3,75.7,21.2,784,1387,64.3,15.9,6.8,0.4,11.5,30.8,1.9,55,1465,238,1821,5,7,26,41.2,31.2,23.4,93.3,6.7,93.1,6.9,24.4,19.0,24.1,22.3,4,4,4,6,3,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57280,Port Hedland (T),2011,2215,100,3,339,5431,53,53,130,401,6511,126,114,106,692,7549,740,203,2771,3716,2.8,1210,200,1069,229,98,70,2890,3.1,3181,1612,2860,42.1,45.5,1.7,7.2,3.5,-,-,1013,2695,54.5,18.4,4.2,0.9,4.9,14.2,1.9,-,-,-,2566,550,304,268,9.6,17,67.6,96.3,3.7,86.6,13.4,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57280,Port Hedland (T),2012,2418,125,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57280,Port Hedland (T),2013,2822,170,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57280,Port Hedland (T),2014,3055,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57280,Port Hedland (T),2015,3037,205,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57280,Port Hedland (T),2016,2670,234,4,136,5335,42,52,112,303,6038,59,103,127,724,7051,964,156,3120,4239,2.7,1414,151,1189,292,103,51,3191,3.1,3527,1786,2913,44.4,43.5,1.6,6.5,4,81.2,14.3,1156,2744,53.4,23.3,4.8,0.9,5.6,16.3,1.9,155,2996,761,3279,332,510,85,6.7,10,78.4,97.7,2.3,90.6,9.4,10.6,6.0,11.4,6.0,8,9,6,6,8,8,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
